"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Log", "JavaScript", "Diff", "HTML", "Markdown", "YAML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\game\matchState.test.ts", "TypeScript", 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 244
"c:\Users\jingc\Documents\8番出口\src\game\matchState.ts", "TypeScript", 0, 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 187
"c:\Users\jingc\Documents\8番出口\src\game\resultFixtures.ts", "TypeScript", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 171
"c:\Users\jingc\Documents\8番出口\src\game\rules.ts", "TypeScript", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 183
"c:\Users\jingc\Documents\8番出口\src\game\scoring.test.ts", "TypeScript", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 213
"c:\Users\jingc\Documents\8番出口\src\game\scoring.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 193
"c:\Users\jingc\Documents\8番出口\src\game\standardCpu.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 103
"c:\Users\jingc\Documents\8番出口\src\game\tacticalCpu.ts", "TypeScript", 0, 622, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 702
"c:\Users\jingc\Documents\8番出口\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\jingc\Documents\8番出口\src\online\client.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\src\online\playerView.test.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\jingc\Documents\8番出口\src\online\playerView.ts", "TypeScript", 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 280
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 280
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", 0, 195, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 205
"c:\Users\jingc\Documents\8番出口\src\sim\headlessCpuDriver.ts", "TypeScript", 0, 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 93
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts", "TypeScript", 0, 524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 599
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\jingc\Documents\8番出口\src\sim\seededRandom.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 0, 635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 707
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 0, 1774, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 1841
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 227
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8417, 229, 1226, 9872
"c:\Users\jingc\Documents\8番出口\src\test\setup.ts", "TypeScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 347, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 371
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\jingc\Documents\8番出口\tests\online-call-pass.spec.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-call.spec.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jingc\Documents\8番出口\tests\online-double-ron.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\jingc\Documents\8番出口\tests\online-effect-10.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37
"c:\Users\jingc\Documents\8番出口\tests\online-effect-5.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\jingc\Documents\8番出口\tests\online-effect-7.spec.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 42
"c:\Users\jingc\Documents\8番出口\tests\online-effect-8.spec.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 38
"c:\Users\jingc\Documents\8番出口\tests\online-effect-9.spec.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\jingc\Documents\8番出口\tests\online-effect-invalid.spec.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\jingc\Documents\8番出口\tests\online-effect-j.spec.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 57
"c:\Users\jingc\Documents\8番出口\tests\online-effect-q.spec.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\jingc\Documents\8番出口\tests\online-helpers.ts", "TypeScript", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\jingc\Documents\8番出口\tests\online-human-stability.spec.ts", "TypeScript", 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 106
"c:\Users\jingc\Documents\8番出口\tests\online-next-round.spec.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\jingc\Documents\8番出口\tests\online-player-assignment.spec.ts", "TypeScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\jingc\Documents\8番出口\tests\online-public-rooms.spec.ts", "TypeScript", 0, 431, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 471
"c:\Users\jingc\Documents\8番出口\tests\online-q-after-draw-tsumo.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\jingc\Documents\8番出口\tests\online-reach-cannot-call.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
