"filename", "language", "JSON", "Log", "JSON with Comments", "TypeScript", "PostCSS", "TypeScript JSX", "JavaScript", "YAML", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\jingc\Documents\8番出口\src\online\types.ts", "TypeScript", 0, 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 16, 175
"c:\Users\jingc\Documents\8番出口\src\sim\cli.ts", "TypeScript", 0, 0, 0, 195, 0, 0, 0, 0, 0, 0, 0, 10, 205
"c:\Users\jingc\Documents\8番出口\src\sim\headlessCpuDriver.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 0, 9, 93
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.test.ts", "TypeScript", 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 0, 75, 599
"c:\Users\jingc\Documents\8番出口\src\sim\scenario.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 5, 68
"c:\Users\jingc\Documents\8番出口\src\sim\seededRandom.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.test.ts", "TypeScript", 0, 0, 0, 635, 0, 0, 0, 0, 0, 0, 0, 72, 707
"c:\Users\jingc\Documents\8番出口\src\sim\simulator.ts", "TypeScript", 0, 0, 0, 1074, 0, 0, 0, 0, 0, 0, 0, 67, 1141
"c:\Users\jingc\Documents\8番出口\src\sim\types.ts", "TypeScript", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 13, 227
"c:\Users\jingc\Documents\8番出口\src\styles.css", "PostCSS", 0, 0, 0, 0, 5451, 0, 0, 0, 0, 0, 6, 787, 6244
"c:\Users\jingc\Documents\8番出口\src\test\setup.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\jingc\Documents\8番出口\src\types.ts", "TypeScript", 0, 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 23, 361
"c:\Users\jingc\Documents\8番出口\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\jingc\Documents\8番出口\tests\online-call-pass.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-call.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"c:\Users\jingc\Documents\8番出口\tests\online-double-ron.spec.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\jingc\Documents\8番出口\tests\online-effect-10.spec.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\jingc\Documents\8番出口\tests\online-effect-5.spec.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\jingc\Documents\8番出口\tests\online-effect-7.spec.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 8, 39
"c:\Users\jingc\Documents\8番出口\tests\online-effect-8.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\jingc\Documents\8番出口\tests\online-effect-9.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\jingc\Documents\8番出口\tests\online-effect-invalid.spec.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 8, 53
"c:\Users\jingc\Documents\8番出口\tests\online-effect-j.spec.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 13, 56
"c:\Users\jingc\Documents\8番出口\tests\online-effect-q.spec.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 10, 45
"c:\Users\jingc\Documents\8番出口\tests\online-helpers.ts", "TypeScript", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\jingc\Documents\8番出口\tests\online-human-stability.spec.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 6, 99
"c:\Users\jingc\Documents\8番出口\tests\online-next-round.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\jingc\Documents\8番出口\tests\online-public-rooms.spec.ts", "TypeScript", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 33, 271
